Frequency (GHz)	DB(|S(2,1)|) : Filter_FF
10.9	-37.0922
10.9138	-36.4418
10.9275	-36.9905
10.9413	-36.5382
10.955	-36.2467
10.9688	-36.0035
10.9825	-35.7967
10.9963	-36.0178
11.01	-35.5771
11.0238	-35.4787
11.0375	-35.4212
11.0513	-35.4282
11.065	-35.2578
11.0787	-34.8383
11.0925	-34.9649
11.1062	-34.932
11.12	-34.736
11.1337	-34.4808
11.1475	-34.3388
11.1613	-34.3482
11.175	-34.044
11.1888	-33.87
11.2025	-34.1604
11.2163	-33.6325
11.23	-33.8044
11.2438	-33.6203
11.2575	-33.4791
11.2713	-33.4317
11.285	-33.1678
11.2988	-33.2892
11.3125	-32.9854
11.3263	-32.9022
11.34	-32.7134
11.3538	-32.5873
11.3675	-32.6458
11.3813	-32.7475
11.395	-32.4752
11.4088	-32.4187
11.4225	-32.3733
11.4362	-32.1212
11.45	-32.0499
11.4637	-31.9756
11.4775	-31.9903
11.4913	-31.9333
11.505	-31.7912
11.5188	-31.7409
11.5325	-31.674
11.5463	-31.5304
11.56	-31.4943
11.5738	-31.4254
11.5875	-31.3035
11.6013	-31.1181
11.615	-31.2205
11.6288	-31.0474
11.6425	-30.9591
11.6563	-30.8203
11.67	-30.7554
11.6838	-30.7381
11.6975	-30.5833
11.7113	-30.4921
11.725	-30.4169
11.7388	-30.5021
11.7525	-30.3805
11.7662	-30.4107
11.78	-30.1649
11.7937	-30.0673
11.8075	-29.8827
11.8212	-29.8877
11.835	-29.8776
11.8488	-29.8474
11.8625	-29.7814
11.8763	-29.5671
11.89	-29.5379
11.9038	-29.4032
11.9175	-29.4801
11.9313	-29.514
11.945	-29.483
11.9588	-29.4125
11.9725	-29.1084
11.9863	-29.1653
12	-29.1749
